village,lat,lon,coconut_acres
Achchappanakoppalu,12.448351,76.674778,60.5
Agrahara,12.43359,76.672638,9.6
Aladahalli,12.463986,76.856723,4.8
Alagudu,12.456821,76.8075,90.9
Alagudukaval Be,12.461385,76.802473,5.5
Allapattana,12.422634,76.746353,27.5
Anagalli,12.368838,76.607805,40.2
Arakere,12.393784,76.803404,194.9
Avverahalli Be,12.387983,76.575993,18.3
B Agrahara,12.43359,76.672638,23.9
Balamuribe,12.408587,76.59872,0.2
Ballekere,12.413164,76.842391,155.4
Ballenahalli,12.461687,76.714013,2.2
Bannahalli,12.434699,76.855061,42.4
Bastipura,12.375595,76.578027,4.5
Beechanakuppe,12.391105,76.562428,4.4
Belagola,12.399487,76.617096,112.9
Belavadi,12.367453,76.70098,138.7
Bettahalli,12.423976,76.851143,5.8
Bontagahalli,12.310444,76.754204,11.1
Brahmapurabe,12.394849,76.673677,28.9
Chandagalu,12.389701,76.702241,101.8
Chandagirikoppalu,12.47288,76.715558,2.8
Channahalli,12.366913,76.775194,17.7
Channanakere,12.455716,76.784652,3.7
Chikkaharohalli,12.43251,76.838962,14.1
Chikkankanahalli,12.330526,76.747183,10.6
Chinnaykanahalli,12.418746,76.722726,12.7
Chinnenahalli,12.474713,76.732028,85.6
Chottanahalli,12.476857,76.824632,85.8
Dammanahallibe,12.442829,76.819019,30.8
Darasaguppe,12.456739,76.69218,20.0
Doddaharohalli,12.444235,76.842959,9.7
Doddankanahalli Be,12.345586,76.7533,37.0
Doddegowdanakoppalu,12.437385,76.662612,21.4
Em Shettahalli,12.451511,76.729537,42.7
Gamanahalli,12.428681,76.884678,146.5
Garakahalli,12.428864,76.826308,45.5
Gendehosahalli,12.375333,76.807472,59.3
Gobbaragala,12.42168,76.802814,1.6
Gowdahalli,12.456693,76.757993,23.5
Hampapura,12.351714,76.730045,39.6
Hangarahalli,12.416741,76.778773,8.7
Hebbadi,12.379185,76.737087,195.8
Hosahalli,12.393519,76.635348,49.2
Hosuru,12.383308,76.715703,148.6
Hulikere,12.395272,76.579799,6.5
Hunasanahalli,12.47629,76.834171,88.8
Hunjanakere,12.441351,76.799745,49.9
Hurulikyatanahalli,12.329382,76.738819,22.1
Jakkanahalli,12.468594,76.789273,84.4
K Shettahalli,12.43657,76.722836,115.8
Kadatanalu,12.463412,76.668977,55.2
Kalenahalli,12.440554,76.773895,19.1
Kallikoppalu Be,12.429549,76.720733,8.1
Karekura,12.420663,76.629973,9.4
Kempalingapura Be,12.412252,76.644643,63.1
Kiranguru,12.438873,76.692737,59.4
Kodiyala,12.456686,76.837175,81.2
Kudalukuppe,12.450822,76.70626,76.9
Mahadevapura,12.381501,76.784452,133.7
Majjigepura,12.398867,76.594982,34.1
Makanakoppalu,12.455663,76.674979,37.9
Maralagala,12.41263,76.740876,135.8
Melapura,12.400002,76.734775,141.1
Mogarahalli,12.378126,76.620108,9.3
Mollenahalli,12.460735,76.822383,5.2
Mundugadore,12.420434,76.763849,57.6
Nagaraghatta Be,12.439481,76.746683,28.8
Nagaraghattakaval Be,12.440554,76.757288,3.9
Naguvanahalli,12.390606,76.686916,39.0
Neelanakoppalu,12.432534,76.760519,49.7
Nelamane,12.471836,76.703696,21.8
Neralekere,12.41405,76.862127,39.4
Palahalli,12.411041,76.653184,85.0
Paramandahalli,12.426602,76.808592,3.3
Peehalli,12.452531,76.853005,2.0
Rampura,12.44116,76.677152,12.3
Sabbanakuppe,12.462295,76.732693,25.2
Shreerangapattana,12.417217,76.696958,184.9
Siddapura,12.486197,76.767455,46.0
Sugganahalli,12.326364,76.755477,12.2
T Em Hosuru,12.451488,76.766667,23.4
Tadagavadi,12.442583,76.830617,76.3
Taripura,12.3735,76.760287,82.4
Vadiyandahalli,12.412605,76.794101,86.9
Vitalapura Be,12.407132,76.876053,0.9
