state,district,n_reports,area_ha,lcc1,lcc2,lcc3,lcc4,lcc5,lcc6,lcc7,lcc8,forest_ha,misc_ha,year_min,year_max
Karnataka,Bagalkot,7,171935,0,57915,44274,50451,1555,4639,962,0,997,11142,1966,2014
Karnataka,Bangalore Rural,4,33071,0,2698,23537,297,116,0,0,172,1292,4910,1964,2017
Karnataka,Bangalore urban,1,4211,0,0,3011,393,0,0,0,0,0,807,2016,2016
Karnataka,Belgaum,7,176704,0,51690,69785,24792,0,6163,878,0,8699,14697,1990,2013
Karnataka,Bellary,19,409175,0,91923,127950,37321,0,4100,2461,3064,27899,16875,1965,2014
Karnataka,Bidar,13,144371,0,39833,41168,42964,0,5512,8294,304,0,6296,1975,2004
Karnataka,Bijapur,6,90331,0,29984,12999,22029,0,10014,1821,0,146,5390,1960,2000
Karnataka,Chikmagalur,1,44012,0,25266,9982,2995,0,0,0,0,0,2088,2013,2013
Karnataka,Chitradurga,4,61755,0,30277,16363,6404,0,174,68,870,99,3819,1962,2017
Karnataka,Dakshina Kannada,2,44421,0,7408,5173,23275,0,7810,0,4,0,751,1964,1964
Karnataka,Davanagere,8,264030,0,98448,86093,19663,0,2536,6883,3769,25643,11835,1967,2013
Karnataka,Dharwad,11,329323,0,115027,104009,84281,0,1249,1123,795,3679,13071,1967,2015
Karnataka,Gadag,20,490782,0,142434,179940,105430,1555,7814,2466,0,23871,22683,1970,2015
Karnataka,Gulbarga,19,270287,0,90611,76342,48172,21631,15830,6952,0,146,10603,1979,2006
Karnataka,Haveri,15,327848,0,109160,128832,38090,0,1923,1726,1221,3179,37628,1966,2018
Karnataka,Kodagu,1,3238,0,0,0,0,0,0,0,0,0,0,1961,1961
Karnataka,Kolar,6,118513,0,8366,71935,10901,0,730,0,0,10419,16280,2016,2018
Karnataka,Koppal,16,329881,0,121122,134028,43212,1555,2935,805,111,8814,17299,1971,2014
Karnataka,Mandya,1,6880,121,3784,1987,522,324,0,42,0,0,100,1961,1961
Karnataka,Raichur,20,293728,0,117999,73410,60550,10709,3527,2740,0,364,19519,1967,2012
Karnataka,Ramanagara,1,289,0,112,67,54,0,34,8,0,0,14,2001,2001
Karnataka,Shimoga,2,70569,0,22389,22167,3876,0,132,4281,0,8576,3669,2005,2013
Karnataka,Yadgir,11,172660,0,61582,49600,31322,8903,6229,2540,0,364,12120,1979,2004
Tamil Nadu,Coimbatore,5,49495,0,4729,22446,9368,0,2516,210,850,7041,2335,1974,1989
Tamil Nadu,Krishnagiri,8,132859,0,12447,57655,30254,0,10289,0,0,3577,18689,2016,2018
Tamil Nadu,Namakkal,1,5941,0,1016,2495,1064,0,608,739,19,0,0,1965,1965
Tamil Nadu,The Nilgiris,13,108540,0,6985,14214,15612,761,16281,3481,22988,14785,4144,1960,1992
